,year,title,plot
2071,1968,The Devil's Brigade,"a fictionalized account of the first special service force ,  the joint canadian - american world war ii commando group under the command of col .  robert t .  frederick .  the canadians are the best that the canadian army has to offer :  spit and polish ,  multiskilled ,  experienced soldiers .  the americans are the dregs of the u . s .  army :  misfits and troublemakers lacking any kind of discipline .  over time ,  frederick forges a unified ,  highly competent fighting force .  initially trained for a commando operation in norway ,  frederick has to move quickly to keep the unit together after the operation was canceled .  they are sent to italy where they distinguish themselves in battle ."
2074,2003,Zero Day,"high school friends andre kriegman and cal gabriel declare war on their classmates and plan a terrifying assault on their high school .  as they begin the deadly countdown to their final act of revenge ,  the two start a video diary to explain their feelings and chronicle their mission ."
2078,2001,Heist,"david mamet takes this story of thieves along many twists and turns ,  some of which work and some of which don ' t .  gene hackman plays the brilliant leader of a gang  ( delroy lindo ,  ricky jay & rebecca pigeon as hackman ' s youngish wife )  ,  which pulls off complex heists for a despicable fence  ( danny devito )  .  after stiffing the gang on a jewelry robbery ,  devito forces the gang to go after a swiss gold shipment and to use his nephew  ( sam rockwell )  in the crime .  no one trusts anyone and every step is shaded with the unexpected ."
2079,1930,The Big Trail,"breck leads a wagon train of pioneers through indian attack ,  storms ,  deserts ,  swollen rivers ,  down cliffs and so on while looking for the murder of a trapper and falling in love with ruth ."
2082,1995,Á köldum klaka,"hirata finds himself canceling his vacation plans to hawaii when his grandfather reminds him of his duty to his parents .  seven years earlier ,  hirata ' s parents had been killed in an accident in iceland and japanese tradition holds that their souls will not be at ease until the proper ceremonies have been performed .  thus ,  hirata sets out on a journey ,  a quest to the river where his parents perished .  along the way ,  in this icelandic - japanese road movie ,  he encounters many difficulties ,  tough situations ,  and odd people in the land of fire and ice .  fridrik thor fridriksson ' s vision infuses iceland ' s stark and beautiful landscape with a haunting spirituality ."
2090,1990,A Shock to the System,"when you think you ' re at the top of the corporate ladder and then discover they have managed to pull that ladder away ,  sometimes you have to take it upon yourself to  ' level '  the playing field ,  both professionally and personally .  michael caine delivers an electrifying performance as graham marshall ,  who quickly catches onto the possibilities as he clears all the hurdles to occupy the corner office ."
2092,1994,Ed Wood,"you are interested in the unknown .  the mysterious .  the unexplainable .  that is why you are here .  and now ,  for the first time ,  we are bringing to you the full story of what happened ,  on that fateful day .  we are giving you all the evidence ,  based only on a secret testimony ,  of the miserable souls ,  who survived this terrifying ordeal .  the incidents ,  the places .  my friend ,  we cannot keep this a secret any longer .  can your heart stand the shocking facts about  ' edward d .  wood jr .  '  ?"
2096,2012,Mental,"the moochmore girls are certain they all suffer from some kind of undiagnosed mental illness  -  because if they ' re not crazy then they ' re just unpopular .  their mother shirley  -  unable to cope with her demanding daughters and unsupported by her philandering politician husband ,  barry  -  suffers a nervous breakdown .  after barry commits his wife to a mental hospital  ( telling his constituents that  "" she ' s on holiday ""  )  he finds himself alone with  N  teenage girls he barely knows .  desperate ,  he impulsively picks up a hitchhiker named shaz and installs her in his home as nanny to his daughters ."
2097,2005,Lassie,"life is hard for yorkshire miner ' s son joe carraclough ,  who is beaten at school by a his teacher ,  his only consolation is his collie lassie .  it gets worse :  when the mine is decommissioned ,  his father ,  sam ,  is forced to sell the dog to the duke ,  who owns the local estate .  the duke ' s servant ,  hynes ,  scares the dog ,  who keeps running back ,  so the carracloughs have to keep returning her ,  until the duke moves to the scottish highlands for the holiday season .  lassie escapes ,  embarking on a desperate journey home ,  with daunting glasgow dogcatchers and taken in by a circus performer .  it looks like a miracle is needed ,  by christmas ."
2100,1919,A Day's Pleasure,"father takes his family for a drive in their falling - apart model t ford ,  gets in trouble in traffic ,  and spends the day on an excursion boat .  as the boat is about to leave charlie rushes ashore for cigarettes .  as he returns the boat is leaving ,  but a fat lady has fallen forward with feet on the dock and hands on the deck so charlie is able rush aboard across her back ."
2101,1981,Friday the 13th Part 2,"after killing mrs .  voorhees ,  who was avenging her son jason ' s death ,  alice hardy can finally sigh with relief .  but there is just one problem .  jason never drowned at camp crystal lake and lived in the nearby woods as a hermit all this time .  the day that alice beheaded his mother ,  jason saw everything and his heart filled with thirst for revenge .  two months later ,  alice gets stabbed by an ice pick in the temple and disappears .  is jason behind this ?  five years later ,  a camp next do to camp crystal lake is built and the counselors start snooping around the old ,  abandoned camp ruins .  this makes jason very upset ,  since his shack is next to the remains of camp crystal lake and what is inside the shack shall be kept secret forever ,  even if it means killing nine people !"
2105,2011,Drive,"a young man ,  who shall be referred to as the driver ,  has several jobs all related to vehicles ,  and all at which he is extremely good :  movie stunt driver ,  mechanic ,  and getaway driver for criminals .  in the latter job ,  he drives ,  no more and no less ,  the no more including not carrying a gun ,  but he takes his job seriously in making a clean getaway while keeping his clients safe during their time in the car .  the driver ' s mechanic boss ,  shannon ,  who often gets him and oversees his stunt jobs ,  wants to expand their horizons by getting into the racing business .  shannon convinces a mob acquaintance ,  bernie rose ,  and bernie ' s associate nino to finance this venture after bernie meets the driver .  concurrently ,  the driver starts to fall for one of his neighbors ,  irene ,  and her young son ,  benicio .  irene ' s husband ,  standard gabriel ,  is a petty criminal currently in prison .  solely to protect irene and benicio ,  the driver gets involved in standard ' s criminal life once standard is released from prison .  that criminal life takes an unexpected turn which threatens not only the driver ' s relationship with irene and benicio and his possible new life as a race car driver ,  but his life ,  period ,  as standard ends up unwittingly being connected back to rose and nino ."
2106,1981,Eyewitness,"manhattan janitor daryll deever is fixated on hard - charging tv commentator ,  tony sokolow ;  he tapes her commentary daily to watch after work .  when a wealthy vietnamese man ,  with many shady connections ,  is murdered in the office building where daryll works ,  tony shows up to cover the story and daryll introduce himself .  she thinks he may know something ,  so she pursues him ;  he pretends he might to keep her interested .  this romantic cat and mouse game goes on under the watchful eyes of the killers ,  who think that daryll and tony do know something .  the killers start their own game of cat and mouse ."
2113,1996,Foxfire,the story of five teenage girls who form an unlikely bond after beating up a teacher who has sexually harassed them .  they build a solid friendship but their wild ways begin to get out of control .
2116,1953,The Band Wagon,"tony hunter ,  a famous singer / dancer movie star ,  is feeling washed up and old hat  ( old top hat ,  tie and tails to be exact )  .  the reporters are out for ava gardner ,  not him .  but his old friends lily and les martin have an idea for a funny little broadway show and he agrees to do it .  but things begin to get out of hand ,  when bigshot  "" artistic ""  director / producer / star jeffrey cordova joins the production ,  proclaims it ' s a modernistic faust and insists on hiring a prima ballerina ,  gabrielle gerard ,  to star opposite tony ,  and it ' s hate at first sight .  and her jealous choreographer isn ' t helping to ease the tension .  the show is doomed by pretentiousness .  but romance ,  a  "" let ' s put on a show ""  epiphany ,  and a triumphant opening are waiting in the wings .  after all ,  this is a musical comedy !"
2120,2011,Foo Fighters: Back and Forth,"rising from the ashes of nirvana ,  the foo fighters became a grammy - winning sensation on their own .  sixteen years of the band ' s history comes to life in this documentary ,  from their demo tapes through the creation of their  N  album ,   "" wasting light .  """
2125,1997,How to Be a Player,"dray is a young playboy whose only objective in life seems to be to have sex with as many girls as he can without getting caught by his girlfriend lisa .  dray ' s sister jenny and her friend katrina plan to show him that the way he lives is wrong and organize a party in malibu ,  inviting all of his girlfriends ."
2130,1983,The Outsiders,"tulsa ,  oklahoma ,   N  .  fourteen year old ponyboy curtis is the youngest of three orphaned brothers who live on the north side of town ,  the proverbial wrong side of the tracks .  sensitive ponyboy used to have a good relationship with his oldest brother darrel ,  but since darrel became the household caregiver ,  he is always on ponyboy ' s case .  caught in the middle literally and figuratively is third brother sodapop ,  who dropped out of school to work full time .  they all belong to the greasers ,  a gang of boys from the north side also from working class families ,  often broken .  ponyboy ' s main concern is that any problem they may encounter ,  especially in their greaser activities ,  will lead to the authorities splitting up their family .  he also believes darrel would have outgrown them and become something in his life if it wasn ' t for his loyalty to the gang and the need to take care of the family .  the rest of the world sees the greasers as all the same  -  the face being dallas winston ,  the most volatile one who has just been released from prison  -  despite each boy having his own specific view of life .  similarly ,  the world sees the socs  ( short for socials )  ,  the greasers '  primary rivals ,  as all the same  -  rich spoiled entitled boys with a sense of superiority from the south side of town  -  despite again each boy being his own person .  a connection between the two gangs happens in the form of ponyboy and cherry valance ,  which doesn ' t sit well with cherry ' s soc boyfriend ,  bob sheldon .  as a result ,  an incident occurs involving the socs ,  ponyboy and fellow greaser ,  sixteen year old johnny cade ,  an equally sensitive boy who wants a better life for himself ,  but seems stuck in a downward spiral with parents who don ' t give him the time of day .  beyond ponyboy and johnny ' s lives being threatened by that incident ,  the greasers and the socs agree to a rumble to settle things once and for all .  some of the boys realize the rumble will accomplish nothing ,  with the questions being if they can convince their colleagues of the same ,  and if not what the consequences will be ."
2136,2002,Sweet Home Alabama,"melanie carmichael ,  an up and rising fashion designer in new york ,  has gotten almost everything she wished for since she was little .  she has a great career and the jfk - like fiancée of new york city .  but when he proposes to her ,  she doesn ' t forget about her family back down south .  more importantly ,  her husband back there ,  who refuses to divorce her ever since she sent divorce papers seven years ago .  to set matters straight ,  she decides to go to the south quick and make him sign the papers .  when things don ' t turn out the way she planned them ,  she realizes that what she had before in the south was far more perfect than the life she had in new york city ."
2137,2008,The Duchess,"N s england .  despite being at a carefree stage of her young adult life which includes a friendship and possibly more in the future with charles grey ,  lady georgiana spencer is more than thrilled to accept the marriage proposal of older william cavendish ,  the duke of devonshire ,  regardless of the fact that they have only met twice .  georgiana is well aware that she has only two primary responsibilities as duchess :   (  N  )  to produce a male heir for the duke ;   (  N  )  to be loyal to him .  however ,  their marriage is not as she expects ,  where he pays more attention to his dogs than he does to her .  even their lovemaking is cold and clinical .  as long as she doesn ' t fulfill that first responsibility which seems to be difficult to achieve ,  their marriage will remain distant .  that coldness she is aware includes infidelity on his side ,  which she tolerates in keeping to her second responsibility ,  especially as it relates to her public duties .  as such ,  she decides to be fulfilled in other ways outside of her time with the duke ,  which he ,  in an unspoken agreement ,  is not to intrude .  those outside activities ,  which make her a star among the elite ,  include fashion design ,  gambling ,  and surprisingly politics .  it also includes a friendship with lady elizabeth foster  -  bess  -  whose own marriage is in disarray ,  as her husband beats her and he has all but taken away their children from her .  georgiana and bess act as each other ' s emotional support ,  which on georgiana ' s side includes inviting her to live in devonshire house with her and the duke .  as her marriage to the duke deteriorates even further ,  georgiana has to decide how far she will go ,  especially as it relates to bess ,  and to charles ,  who ,  as a young man ,  has political aspirations .  if she can ' t have her cake and eat it too ,  she will have to make some difficult decisions with regard to the ones she truly loves ."
2139,1996,Mary Reilly,"in the nineteen century ,  in london ,  the dedicated housemaid mary reilly is part of the staff under the command of the butler mr .  poole that works for dr .  henry jekyll .  mary is a traumatized woman that was abused by her father when she was a child and very devoted to dr .  jekyll .  one day ,  he gathers mr .  poole and the servants in a room and tells that his assistant mr .  edward hyde will be work in his laboratory with free access to the house .  mary reilly and her mates are unsuccessful to see the mysterious mr .  hyde .  dr .  jekyll trusts on mary reilly and she helps him ,  delivering letters to the notorious mrs .  farraday  ( glenn close )  that owns a brothel to clean the mess that mr .  hyde does in the city .  mary reilly is seduced by the educated dr .  jekyll and by the reckless and violent mr .  hyde ."
2141,2008,More Than a Game,this documentary follows nba superstar lebron james and four of his talented teammates through the trials and tribulations of high school basketball in ohio and james '  journey to fame .
2143,1949,Colorado Territory,"outlaw wes mcqueen breaks out of jail and meets up with his gang who are planning a train robbery .  he finds them holed up in an old dilapidated mission ,  arguing and one of them has a woman with him ,  a former dance hall girl ,  colorado carson .  wes has decided that he wants to go straight .  having met julie ann winslow and her father fred ,  his ideal would be to settle down with her and own his own ranch .  out of loyalty to an old - time partner however ,  he agrees to go ahead with the train robbery and realizes too late that he is not destined to fulfill his dreams .  he and colorado make a final desperate break when the robbery goes bad ."
2151,1932,"20,000 Years in Sing Sing","tom connors is sentenced to sing sing believing his influential friends will soon have him out on parole .  a trouble maker ,  he gets ninety days in solitary and no parole .  his girlfriend fay is injured and warden long lets tom visit her on his honor to return .  during a fight with mobster joe finn fay shoots finn ,  tom jumps out the window and is blamed for the death .  he gives himself up but is sentenced to the electric chair ."
2156,1998,Next Stop Wonderland,"erin is a nurse and her longtime boyfriend has dumped her .  her mother piper places a personal ad for her .  meanwhile the film follows the life of alan ,  a volunteer at a local aquarium who dreams of becoming a marine biologist .  will their paths cross ?"
2158,1960,Comanche Station,"loner cody trades with the comanches to get a white girl released .  he is joined on his way back to the girl ' s husband by an outlaw and his sidekicks .  it turns out there is a large reward for the return of the girl ,  and with the indians on the warpath and the outlaw being an old enemy of cody ' s ,  things are set for several showdowns ."
2159,2007,Dedication,"henry roth :  obsessive - compulsive ,  somewhat misanthropic ,  a writer of children ' s books .  his illustrator and only friend ,  rudy ,  dies after a fabulously successful collaboration on  "" marty ,  the beaver .  ""  henry is under contract to produce another marty book for christmas sales .  his publisher ,  arthur planck ,  assigns penniless ,  lovelorn illustrator lucy reilly to work with henry .  she ' s sought by her ex - boyfriend jeremy ,  who dumped her two years ago but shows up apologetic ,  having dedicated his new book to her .  she and henry go to a house on the shore to work .  will love bloom amid the rocks ,  or is henry a bump on lucy ' s road to jeremy ?  rudy ' s voice ,  from the grave ,  gives henry counsel ."
2160,1950,Three Little Words,"song - and - dance man bert kalmar can ' t continue his stage career after an injury for while ,  so he has to earn his money as a lyricst .  per chance he meets composer harry ruby and their first song is a hit .  ruby gets kalmar to marry is former partner jessie brown ,  and kalmar and jessie prevent ruby from getting married to the wrong girls .  but due to the fact ,  that ruby has caused a backer ' s withdrawal for a kalmar play ,  they end their relation ."
2162,2014,Don't Blink,"ten people arrive at a secluded mountain resort to find it completely deserted .  with no gas for the return trip ,  the visitors are forced to stay and investigate the mystery surrounding the abandoned lodge ."
2169,1982,Rocky III,"after an unexpected victory ,  rocky balboa  ( sylvester stallone )  has had  N  successful title defenses and is considered the heavyweight champion of the world .  at his retirement fight ,  rocky loses his spot to ruthless and dangerous challenger ,  clubber lang  ( mr .  t )  .  now that he has lost both his title to defeat and his coach ,  mickey goldmill ,  to a heart attack ,  rocky turns to former champion ,  apollo creed  ( carl weathers )  ,  to get rocky back up on his feet ."
2171,1943,The Return of the Vampire,"in  N  ,  an english family are terrorized by a vampire ,  until they learn how to deal with it .  they think their troubles are over ,  but german bombs in wwii free the monster .  he reclaims the soul of his wolfman ex - servant ,  and assuming the identity of a scientist who has just escaped from a concentration camp ,  he starts out on a plan to get revenge upon the family ."
2172,1936,The Milky Way,"sunflower dairy delivery man burleigh sullivan is anything but  "" burly ""  as his name sounds .  he is bespectacled ,  slight in build ,  mild mannered ,  the butt of jokes by his colleagues ,  and the bane of wilbur austin ' s existence ,  he the president of sunflower .  in standing up for his hat check girl sister mae sullivan ,  burleigh gets into a street brawl with two hulking drunkards .  the outcome of the confusion is that one of the men ends up being knocked unconscious with a black eye to boot .  it comes to light to the world that the man knocked unconscious is speed mcfarland ,  the middleweight champion of the world ,  the other man his dim bodyguard ,  spider schultz .  this situation causes problems for all concerned .  speed ,  who along with spider have no recollection of the evening due to their drunken state ,  has a ruined reputation as a fighter due to someone like burleigh knocking him out .  his manager gabby sloan can ' t get him any more fights despite he being champion .  and even burleigh ,  who is up front to gabby and speed about exactly how speed was knocked unconscious which isn ' t quite as it appears on the surface ,  doesn ' t want the world to believe he is something he is not .  gabby thinks he has a solution to all their problems which entails burleigh becoming a boxer ,  if he can only convince burleigh to cooperate .  even if he can get burleigh to agree to the scheme ,  the best laid plans may not come to pass .  but out there ,  someone may truly see and love burleigh for all he is ,  warts and all ,  and in spite of all the publicity ,  that is if burleigh can get over the publicity himself ."
2179,2014,Amira & Sam,an army veteran ' s unlikely romance with an iraqi immigrant is put to the test when she is faced with the prospect of deportation .
2180,1992,Boomerang,"marcus is a successful advertising executive who woos and beds women almost at will .  after a company merger ,  he finds that his new boss ,  the ravishing jacqueline ,  is treating him in exactly the same way .  completely traumatized by this ,  his work goes badly downhill .  but then jacqueline ' s more quietly attractive assistant ,  angela ,  who has been dating marcus '  best friend ,  shows herself more than a little concerned by his parlous state ."
2188,2013,The Big Wedding,"don and ellie were once married and have two children ,  lyla and jared .  they adopt a boy from colombia ,  alejandro .  eventually they would divorce ,  ellie would move away and don would hook up with bebe ,  ellie ' s best friend .  when alejandro is about to get married ,  he informs don and ellie that he never told his natural mother who is so traditional that they got divorced .  and she is coming for the wedding so he asks them if they can pretend to still be married .  don and ellie reluctantly agree to it and bebe moves out who is also upset that don doesn ' t want to commit .  lyla who is married is going through a rough patch in her marriage .  and jared who hasn ' t had much luck with women finds himself attracted to alejandro ' s extremely sensual sister ,  nuria ."
2190,1957,The Prince and the Showgirl,"june ,   N  .  among the dignitaries from the balkan state of carpathia in london for the coronation of king george v and queen mary is the regent ,  his serene highness the grand duke charles .  the london foreign office places great importance on carpathia because of an unstable geopolitical situation with kaiser wilhelm of germany set to overthrow its monarchy government if allowed .  the regent ,  a prince originally from hungary ,  and the most recent and now deceased queen married for convenience .  as such ,  the regent has spent time with a series of lady friends while on his travels in his somewhat  "" free ""  state .  in meeting one of those london women ,  music hall actress maisie springfield ,  and the company of her current production  "" the coconut girl ""  ,  the regent instead has his eyes set on one of the minor players in the show ,  american actress elsie marina .  when seemingly simpleminded elsie receives a party invitation from the regent for that evening ,  elsie is not so simpleminded to understand the implications when she learns upon her arrival at the carpathian embassy where the regent and the carpathian entourage are staying that the party is just for two .  on the regent ' s relatively short stay in london ,  he and elsie go through a series of feelings in their relationship ,  where the regent just wants to have some fun ,  while elsie doesn ' t mind fun within a proper context ,  which means no dinners for two without some formal getting to know each other period .  elsie gets caught up in the diplomatic and geopolitical side of the issues when she inadvertently meets the other two royal members of the carpathian entourage .  the first is the queen dowager ,  the regent ' s mother - in - law ,  who isn ' t as hard of hearing as she lets on in the carrying out of her duties .  the second is nicholas viii ,  the sixteen year old current king and the regent ' s son ,  who will take over official duties when he becomes of age in eighteen months ,  and who ,  unlike his father ,  is sympathetic both to the democratic process in wanting free elections in carpathia and to the germans to who he is related on his mother ' s side .  all these goings - on make for a difficult few days for northbrook ,  the foreign office ' s envoy who has just temporarily taken over this file ."
2192,1932,Island of Lost Souls,"after his ship goes down ,  edward parker is rescued at sea .  parker gets into a fight with captain davies of the apia and the captain tosses him overboard while making a delivery to the tiny tropical island of dr .  moreau .  parker discovers that moreau has good reason to be so secretive on his lonely island .  the doctor is a whip - cracking task master to a growing population of his own gruesome human / animal experiments .  he does have one prize result ,  lota the beautiful panther woman .  parker ' s fortunes for escape look up after his fiancée ruth finds him with the help of fearless captain donohue .  however ,  when moreau ' s tribe of near - humans rises up to rebel ,  no one is safe .  .  ."
2193,1946,Angel on My Shoulder,"gangster eddie kagel is killed by a trusted lieutenant and finds himself in harry redmond jr ' s special - effects hell ,  where nick / the devil sees that he is an - exact double for a judge who nick doesn ' t approve of .  eddie is agreeable to having his soul transferred to the judge ' s body ,  as it will give him a chance to avenge himself on his killer .  but every action taken by eddie  ( as the judge )  results in good rather than evil and ,  to nick ' s dismay ,  the reputation and influence of the judge is enhanced ,  rather than impaired by eddie .  and eddie also falls in love with the judge ' s fiancée ,  barbara .  even eddie ' s planned revenge fails and nick is forced to concede defeat .  he returns to hell ,  taking eddie with him ,  after eddie has extracted his promise that nick will not molest the judge or barbara in the future ."
2196,2013,Mistaken for Strangers,"in  N  ,  rock band the national were about to embark on the biggest tour of their career .  after ten years as a band ,  and five critically acclaimed albums ,  they were finally enjoying wider recognition .  lead singer matt berninger invited his younger brother ,  tom ,  to join the tour ' s crew .  a budding horror filmmaker ,  tom  -  who is nine years younger than matt and listens exclusively to heavy metal  -  decided to bring his camera along .  tom ' s at sea in the world of indie rock ,  and living in his brother ' s shadow brings out the younger sibling in him  -  he drinks ,  complains ,  and struggles to balance his ambition with his tour responsibilities .  the result is a film about brothers and about making something of your own ."
2198,1996,The Glimmer Man,jack cole is a cop from the east coast with vague history who transferred to l . a .  he works with a detective campbell who is pursuing a serial killer .  campbell learns cole is not a man to be messed with .  one of the victims of the serial killer turns out to be cole ' s ex - wife .  later the killer is caught but they learn he wasn ' t the one who killed cole ' s ex - wife .  and evidence turns up that implicates cole .  cole claims he didn ' t do it .  he suspects that he ' s being framed that ' s when he calls someone who is a spook and the man doesn ' t give him a straight answer .  later someone tries to kill cole and campbell .  they suspect it might have something to do with some dead russians they found who died of radiation poisoning .
2200,2006,The Astronaut Farmer,"texan charles farmer left the air force as a young man to save the family ranch when his dad died .  like most american ranchers ,  he owes his bank .  unlike most ,  he ' s an astrophysicist with a rocket in his barn  -  one he ' s built and wants to take into space .  it ' s his dream .  the fbi puts him under surveillance when he tries to buy rocket fuel ;  the faa stalls him when he files a flight plan  -  it ' s post -  N  /  N  ,  after all .  his wife is angry when she finds out their bank is initiating foreclosure .  charlie fears failure and decides ,  precipitously ,  to launch .  are twenty - first century american dreams just a sign of insanity ?  are those who believe in dreamers only fools ?"
2203,2000,Love & Basketball,"in  N  in l . a .  ,  monica moves in next door to quincy .  they ' re  N  ,  and both want to play in the nba ,  just like quincy ' s dad .  their love - hate relationship lasts into high school ,  with monica ' s edge and quincy ' s top - dog attitude separating them ,  except when quincy ' s parents argue and he climbs through monica ' s window to sleep on the floor .  as high school ends ,  they come together as a couple ,  but within a year ,  with both of them playing ball at usc ,  quincy ' s relationship with his father takes an ugly turn ,  and it leads to a break up with monica .  some years later ,  their pro careers at a crossroads ,  they meet again .  it ' s time for a final game of one - on - one with high stakes ."
2204,1997,Boogie Nights,"san fernando valley ,   N  .  jack horner is a renowned director of porn ,  all his movies financed by  "" colonel ""  james .  he has his regular stable of cast and crew ,  most who have issues in their lives .  they include :  actress amber waves ,  who acts as the mother figure to the group in the absence of being a real mother to her biological son ,  about who she has told no one in her porn circle ;  actor reed rothchild ,  who wants to live up to his on - screen alpha male status ;  actor buck swope ,  who works as a stereo salesman on the side and whose country & western style seems to be problematic in getting ahead ;  actress rollergirl ,  a high school drop - out who never takes off her skates ;  and assistant director  "" little ""  bill ,  whose marriage is threatened by his wife being both a nymphomaniac and an exhibitionist .  their collective lives are punctuated by excess in everything ,  whether it be sex ,  cocaine use ,  or the need to amass flashy material possessions .  into their lives comes eddie adams ,  a seventeen year old high school dropout from a dysfunctional family in torrance .  eddie ,  who renames himself dirk diggler ,  is jack ' s latest discovery ,  and whose success in the industry is largely predicated on being well - endowed .  because of the validation he receives for the first time in his life ,  dirk is easy prey to be sucked into the excesses of the group .  although largely an innocent beyond the few dollars previously earned here and there by showing his penis to anyone who would pay ,  dirk also changes as a person as he displays more and more bravado in relation to the amount of validation he receives .  the next few years lead to changes in the group ,  not only because of changes in technology ,  namely the advent of video ,  but as the excesses in their lives start to take their toll ,  and as their association with the business may affect what their post - porn life will look like ."
2205,1944,Going My Way,"father fitzgibbon has been the parish priest at st .  dominic ' s in new york city for forty five years .  the parish faces financial and social problems which the diocese believes cannot be solved by father fitzgibbon ' s traditional and conservative approach to running the parish .  the bishop appoints progressive father o ' malley ,  originally from st .  louis ,  to ,  on the surface ,  assist father fitzgibbon at st .  dominic ' s .  in reality ,  father o ' malley has been appointed to lead the parish out of these problems ,  something that father fitzgibbon is unaware ,  and something that father o ' malley does not want to divulge in letting father fitzgibbon continue his work in dignity .  father o ' malley ' s task is made all the more difficult as father fitzgibbon does not approve of father o ' malley ' s ways ,  both as priest and as a person .  in general ,  father fitzgibbon takes a rather strict approach typical to the traditional ways of the church ,  whereas father o ' malley takes a more compassionate humanistic approach ,  he who wants to bring people back to the church through more contemporary means rather than the old  "" fire and brimstone ""  preachings .  however ,  even father o ' malley ' s humanism may not be able to deal with the fact that ted haines sr .  ,  representing the knickerbocker savings and loan ,  is thinking of foreclosing on the church ' s mortgage for non - payment ,  money which the church does not have and which it needs to get out of this problem ."
2207,1936,The Invisible Ray,"the scientist janos rukh has been expelled from the scientific community due to the lack of credibility in his researches .  living isolated in a castle with his blind mother and his wife diane ,  he makes a private presentation of the recently discovered invisible ray to his colleague dr .  felix benet ,  and succeeds in being sponsored by sir francis stevens and his wife lady arabella stevens in an expedition to nigeria ,  where he believe he could find a meteor with radium x .  once in africa ,  janos leaves the expedition alone and finds the meteor ,  but is exposed to its radiation ,  acquiring a deadly touch that immediately kills anyone who is touched by him .  meanwhile ,  diane falls in love for the son of lady arabella ,  ronald drake .  dr .  benet finds an antidote to control the effects of the radiation in janos to be daily injected ,  but advises that the side effect could bring madness to him .  dr .  benet returns to paris and steals the findings of janos ,  exposing and using janos ' s researches to the scientific community ,  while the deranged janos seeks revenge against those that have betrayed him ."
2219,1935,A Midsummer Night's Dream,"theseus ,  duke of athens ,  is going to marry hyppolyta ,  queen of the amazons .  demetrius is engaged with hermia ,  but hermia loves lysander .  helena loves demetrius .  oberon and titania ,  of the kingdom of fairies have a slight quarrel about whether or not the boy titania is raising will join titania ' s band or oberon ' s ,  so oberon tries to get him from her by using some magic .  but they ' re not alone in that forest . lysander and hermina have there a rendezvous ,  helena and demetrius are there ,  too as well as some actors ,  who are practicing a play for the ongoing wedding of theseus and hippolyta .  due to some misunderstandings by puck ,  the whole thing becomes a little bit confused .  .  ."
2222,1996,Larger Than Life,"motovational speaker jack corcoran is determined to get his career off the ground ,  but the biggest gigs he can get are the ones nobody wants .  then one day ,  he receives a telegram that his circus clown father has passed away ,  and has left a  "" huge ""  inheritance .  when he gets there ,  he finds that his inheritance has come in the form of a elephant that was his father ' s pride and joy in circus acts .  his main intention is to sell the pacaderm off .  jack must choose between loud and rude zookeeper mo or attractive animal show owner terry .  as the two trek through the country jack and the elephant develop a bond ,  and it changes his approach on life for the better ."
2224,1968,The Scalphunters,"trapper joe is on his way to the town with all of his gain of hides of the last winter .  however a group of indians stops him and takes all of his hides ,  leaving him the escaped slave joseph instead .  but joe has no use for joseph and is determined to get his property back and follows them .  before he can do anything ,  the indians are raided themselves by a group of scalphunters under the greedy howie .  not only the hides ,  but also joseph falls into their hands .  now joe follows them alone and tries to trick the numerical superior group out of his hides ."
2235,2006,Unrest,"in a medical school ,  the freshmen students alison blanchard ,  brian cross ,  carlos aclar and rick o ' connor receive the cadaver of a young woman for dissection in their anatomy class of professor walter blackwell .  the atheist alison has a weird sensation that the spirit of the corpse is trying to communicate with her and tries to unravel who the woman was .  meanwhile ,  all the persons that handle the corpse mysteriously die ."
2242,1993,Wayne's World 2,"wayne is back ,  this time trying to organize a rock festival with help from friend garth and the spirit of jim morrison  ( doors )  .  meanwhile ,  his girlfriend ' s manager is busy trying to woo her away from wayne and move her to la .  life gets interesting when wayne must rush from the concert to try and stop the wedding .  aerosmith are featured at the concert ."
2243,1987,The Running Man,"in the year  N  ,  the world economy has collapsed .  the great freedoms of the united states are no longer ,  as the once great nation has sealed off its borders and become a militarized police state ,  censoring all film ,  art ,  literature ,  and communications .  even so ,  a small resistance force led by two revolutionaries manages to fight the oppression .  with full control over the media ,  the government attempts to quell the nation ' s yearning for freedom by broadcasting a number of game shows on which convicted criminals fight for their lives .  the most popular and sadistic of these programs is  "" the running man ,  ""  hosted by damon killian .  when a peaceful protest of starving citizens gathers in bakersfield ,  california ,  a police officer named ben richards is ordered to fire on the crowd ,  which he refuses to do .  subdued by the other officers ,  the attack is carried out ,  and richards is framed for the murder of almost a hundred unarmed civilians .  following a daring jail break months later ,  richards is captured once again and forced to appear on  "" the running man ""  with three other convicts .  with their help ,  he fights his way through a cadre of sadistic gladiators hunting them down through the ruins of a los angeles earthquake ,  but not promising killian that he ' ll return to settle the score when the show ' s host double - crosses him .  in the meantime ,  the contestants must search through the ruins for the resistance in the hopes of finally broadcasting the truth about the government ."
